mouse_id,strain,sex,diet,bw,lean,fat,pct_fat,lifespan_days
80_27_17,ILSXISS80/TejJ,f,AL,30.4,20.1,8.73,30.3,887.0
80_27_18,ILSXISS80/TejJ,f,AL,28.8,20.1,7.81,28.0,887.0
80_27_19,ILSXISS80/TejJ,f,AL,28.9,20.8,7.18,25.7,1002.0
80_27_21,ILSXISS80/TejJ,f,AL,35.4,20.6,12.5,37.8,959.0
80_27_22,ILSXISS80/TejJ,f,AL,26.5,18.5,7.9,29.9,823.0
80_27_14,ILSXISS80/TejJ,m,AL,31.8,24.0,7.13,22.9,803.0
80_27_15,ILSXISS80/TejJ,m,AL,31.4,23.450000000000003,7.609999999999999,24.35,446.0
80_27_16,ILSXISS80/TejJ,m,AL,35.4,23.6,10.6,30.9,772.0
80_27_20,ILSXISS80/TejJ,m,AL,31.0,23.3,8.09,25.8,859.0
80_27_24,ILSXISS80/TejJ,m,AL,30.0,22.8,6.38,21.9,929.0
84_28_10,ILSXISS84/TejJ,f,AL,16.8,13.4,2.6,16.3,955.0
84_28_5,ILSXISS84/TejJ,f,AL,22.5,18.1,4.1,18.4,863.0
84_28_6,ILSXISS84/TejJ,f,AL,18.5,15.6,2.87,15.5,810.0
84_28_7,ILSXISS84/TejJ,f,AL,18.5,14.7,3.71,20.2,767.0
84_28_8,ILSXISS84/TejJ,f,AL,22.3,13.9,7.37,34.6,771.0
84_28_1,ILSXISS84/TejJ,m,AL,22.1,17.1,4.43,20.5,937.0
84_28_2,ILSXISS84/TejJ,m,AL,23.7,20.1,4.7,18.9,900.0
84_28_3,ILSXISS84/TejJ,m,AL,25.4,20.3,5.45,21.2,972.0
84_28_4,ILSXISS84/TejJ,m,AL,25.0,20.8,4.69,18.4,669.0
84_28_9,ILSXISS84/TejJ,m,AL,24.2,17.8,4.61,20.5,842.0
86_29_4,ILSXISS86/TejJ,f,AL,25.3,19.9,5.15,20.6,855.0
86_29_5,ILSXISS86/TejJ,f,AL,21.8,17.0,4.48,20.8,984.0
86_29_6,ILSXISS86/TejJ,f,AL,20.8,18.1,4.26,19.1,1155.0
86_29_7,ILSXISS86/TejJ,f,AL,23.4,17.7,5.19,22.7,868.0
86_29_1,ILSXISS86/TejJ,m,AL,28.5,21.7,5.6,20.5,1137.0
86_29_10,ILSXISS86/TejJ,m,AL,28.9,20.5,5.4,20.8,931.0
86_29_11,ILSXISS86/TejJ,m,AL,27.3,22.0,4.07,15.6,827.0
86_29_2,ILSXISS86/TejJ,m,AL,26.4,20.7,4.97,19.4,1111.0
86_29_9,ILSXISS86/TejJ,m,AL,29.1,20.6,6.21,23.1,1144.0
89_29_10,ILSXISS89/TejJ,f,AL,29.9,23.7,3.37,12.4,604.0
89_29_6,ILSXISS89/TejJ,f,AL,23.75,18.65,3.615,16.25,469.0
89_29_7,ILSXISS89/TejJ,f,AL,24.1,18.5,4.02,17.8,902.0
89_29_8,ILSXISS89/TejJ,f,AL,23.4,18.8,3.86,17.1,889.0
89_29_9,ILSXISS89/TejJ,f,AL,20.3,15.6,2.84,15.4,903.0
89_29_1,ILSXISS89/TejJ,m,AL,25.2,20.9,4.29,17.0,992.0
89_29_2,ILSXISS89/TejJ,m,AL,23.7,19.6,3.56,15.4,1061.0
89_29_3,ILSXISS89/TejJ,m,AL,29.7,22.1,6.22,22.0,951.0
89_29_4,ILSXISS89/TejJ,m,AL,26.0,21.6,3.98,15.5,579.0
89_29_5,ILSXISS89/TejJ,m,AL,25.6,21.25,4.135,16.25,515.0
90_29_5,ILSXISS90/TejJ,f,AL,25.1,20.1,5.13,20.3,871.0
90_29_6,ILSXISS90/TejJ,f,AL,23.3,19.3,5.26,21.4,975.0
90_29_7,ILSXISS90/TejJ,f,AL,26.6,20.0,5.67,22.1,895.0
90_29_8,ILSXISS90/TejJ,f,AL,31.0,22.6,8.87,28.2,966.0
90_29_9,ILSXISS90/TejJ,f,AL,32.1,22.7,10.4,31.4,906.0
90_29_1,ILSXISS90/TejJ,m,AL,28.3,23.6,4.12,14.8,804.0
90_29_10,ILSXISS90/TejJ,m,AL,32.2,27.1,4.05,13.0,607.0
90_29_2,ILSXISS90/TejJ,m,AL,31.7,26.5,5.27,16.6,875.0
90_29_3,ILSXISS90/TejJ,m,AL,30.2,24.4,5.31,17.9,911.0
90_29_4,ILSXISS90/TejJ,m,AL,32.9,26.2,6.99,21.1,829.0
92_26_10,ILSXISS92/TejJ,f,AL,22.9,17.7,4.65,20.8,552.0
92_26_3,ILSXISS92/TejJ,f,AL,25.3,19.0,7.49,28.2,770.0
92_26_4,ILSXISS92/TejJ,f,AL,25.3,20.2,5.61,21.7,798.0
92_26_5,ILSXISS92/TejJ,f,AL,28.2,20.0,6.84,25.5,991.0
92_26_9,ILSXISS92/TejJ,f,AL,26.2,17.4,8.37,32.5,1060.0
92_26_1,ILSXISS92/TejJ,m,AL,36.7,24.9,11.6,31.8,813.0
92_26_2,ILSXISS92/TejJ,m,AL,33.7,25.2,8.87,26.1,952.0
92_26_6,ILSXISS92/TejJ,m,AL,29.0,22.0,7.4,25.2,994.0
92_26_7,ILSXISS92/TejJ,m,AL,31.0,23.4,6.91,22.8,1170.0
92_26_8,ILSXISS92/TejJ,m,AL,30.9,23.1,7.65,24.9,1100.0
94_29_10,ILSXISS94/TejJ,f,AL,19.9,17.1,2.24,11.6,598.0
94_29_11,ILSXISS94/TejJ,f,AL,21.0,19.5,3.91,16.7,699.0
94_29_12,ILSXISS94/TejJ,f,AL,22.1,19.6,3.59,15.5,596.0
94_29_13,ILSXISS94/TejJ,f,AL,25.8,21.0,5.12,19.6,863.0
94_29_9,ILSXISS94/TejJ,f,AL,20.9,17.2,2.24,11.6,735.0
94_29_1,ILSXISS94/TejJ,m,AL,21.9,16.7,3.32,16.6,718.0
94_29_2,ILSXISS94/TejJ,m,AL,23.5,17.9,5.35,23.0,1094.0
94_29_3,ILSXISS94/TejJ,m,AL,21.4,15.9,3.11,16.4,986.0
94_29_4,ILSXISS94/TejJ,m,AL,23.1,16.6,4.82,22.6,712.0
94_29_5,ILSXISS94/TejJ,m,AL,13.6,11.4,1.53,11.9,700.0
97_27_4,ILSXISS97/TejJ,f,AL,21.7,16.4,4.48,21.4,990.0
97_27_5,ILSXISS97/TejJ,f,AL,19.6,17.1,2.83,14.2,557.0
97_27_6,ILSXISS97/TejJ,f,AL,19.9,15.1,3.58,19.1,1000.0
97_27_7,ILSXISS97/TejJ,f,AL,19.7,16.1,3.5,17.9,999.0
97_27_8,ILSXISS97/TejJ,f,AL,23.5,16.1,6.03,27.2,1057.0
97_27_1,ILSXISS97/TejJ,m,AL,28.0,20.9,7.02,25.1,983.0
97_27_10,ILSXISS97/TejJ,m,AL,27.0,18.8,6.6,26.0,991.0
97_27_2,ILSXISS97/TejJ,m,AL,27.1,19.1,6.88,26.5,996.0
97_27_3,ILSXISS97/TejJ,m,AL,28.8,19.9,8.22,29.3,997.0
97_27_9,ILSXISS97/TejJ,m,AL,27.4,19.5,6.89,26.1,911.0
98_27_12,ILSXISS98/TejJ,f,AL,23.5,17.5,4.76,21.4,1021.0
98_27_13,ILSXISS98/TejJ,f,AL,24.9,16.9,7.53,30.9,1285.0
98_27_14,ILSXISS98/TejJ,f,AL,24.6,17.2,5.48,24.2,1337.0
98_27_8,ILSXISS98/TejJ,f,AL,28.4,18.6,8.37,31.1,1147.0
98_27_9,ILSXISS98/TejJ,f,AL,24.3,17.1,7.77,31.2,1249.0
98_27_10,ILSXISS98/TejJ,m,AL,30.7,19.4,9.29,32.4,1187.0
98_27_11,ILSXISS98/TejJ,m,AL,26.9,18.8,7.8,29.4,1209.0
98_27_5,ILSXISS98/TejJ,m,AL,29.9,19.4,9.33,32.4,1092.0
98_27_6,ILSXISS98/TejJ,m,AL,29.5,20.0,8.46,29.7,843.0
98_27_7,ILSXISS98/TejJ,m,AL,29.2,20.2,8.52,29.7,1309.0
99_27_10,ILSXISS99/TejJ,f,AL,25.1,19.9,4.47,18.3,640.0
99_27_3,ILSXISS99/TejJ,f,AL,27.6,15.3,12.0,43.9,887.0
99_27_4,ILSXISS99/TejJ,f,AL,27.2,16.8,9.76,36.7,1010.0
99_27_8,ILSXISS99/TejJ,f,AL,25.2,17.5,6.35,26.7,548.0
99_27_9,ILSXISS99/TejJ,f,AL,26.9,19.4,8.59,30.7,954.0
99_27_1,ILSXISS99/TejJ,m,AL,33.8,23.4,9.8,29.5,786.0
99_27_2,ILSXISS99/TejJ,m,AL,29.3,23.2,5.26,18.5,1001.0
99_27_5,ILSXISS99/TejJ,m,AL,34.0,23.9,9.36,28.1,930.0
99_27_6,ILSXISS99/TejJ,m,AL,30.0,22.4,7.81,25.8,907.0
99_27_7,ILSXISS99/TejJ,m,AL,32.5,23.8,8.34,26.0,1046.0
100_27_18,ILSXISS100/TejJ,f,DR,16.8,13.3,2.57,16.2,1013.0
100_27_19,ILSXISS100/TejJ,f,DR,16.8,13.3,2.57,16.2,967.0
100_27_20,ILSXISS100/TejJ,f,DR,16.8,13.3,2.57,16.2,974.0
100_27_16,ILSXISS100/TejJ,m,DR,14.4,12.6,1.62,11.4,638.0
100_27_17,ILSXISS100/TejJ,m,DR,20.9,14.8,2.38,13.8,894.0
100_27_21,ILSXISS100/TejJ,m,DR,17.65,13.7,2.0,12.600000000000001,848.0
103_27_12,ILSXISS103/TejJ,f,DR,22.4,15.3,3.34,18.0,1093.0
103_27_16,ILSXISS103/TejJ,f,DR,21.9,14.0,4.11,22.7,1122.0
103_27_11,ILSXISS103/TejJ,m,DR,28.5,19.6,6.87,25.9,890.0
103_27_13,ILSXISS103/TejJ,m,DR,28.1,19.0,6.9,26.7,1028.0
103_27_14,ILSXISS103/TejJ,m,DR,29.1,19.5,6.88,26.0,926.0
103_27_15,ILSXISS103/TejJ,m,DR,27.0,18.7,5.95,24.1,1115.0
103_27_18,ILSXISS103/TejJ,m,DR,25.9,18.2,5.07,21.8,1130.0
107_29_11,ILSXISS107/TejJ,f,DR,18.2,13.9,3.89,21.8,680.0
107_29_12,ILSXISS107/TejJ,f,DR,16.7,13.0,2.19,14.4,674.0
107_29_13,ILSXISS107/TejJ,f,DR,14.7,11.9,1.66,12.2,673.0
107_29_14,ILSXISS107/TejJ,f,DR,17.5,13.4,3.03,18.5,756.0
107_29_22,ILSXISS107/TejJ,f,DR,17.0,12.2,3.33,21.4,654.0
107_29_15,ILSXISS107/TejJ,m,DR,19.2,14.7,3.21,17.9,598.0
107_29_16,ILSXISS107/TejJ,m,DR,18.95,14.2,2.955,17.15,146.0
107_29_17,ILSXISS107/TejJ,m,DR,16.7,13.5,1.68,11.1,564.0
107_29_18,ILSXISS107/TejJ,m,DR,19.7,14.6,4.2,22.4,658.0
107_29_19,ILSXISS107/TejJ,m,DR,18.7,13.8,2.7,16.4,635.0
110_26_18,ILSXISS110/TejJ,f,DR,19.4,14.7,3.3,18.3,878.0
110_26_19,ILSXISS110/TejJ,f,DR,18.3,14.2,2.5,15.0,688.0
110_26_20,ILSXISS110/TejJ,f,DR,18.3,14.9,3.44,18.8,1197.0
110_26_23,ILSXISS110/TejJ,f,DR,17.5,13.8,1.79,11.5,609.0
110_26_26,ILSXISS110/TejJ,f,DR,19.5,14.5,3.33,18.7,1080.0
110_26_15,ILSXISS110/TejJ,m,DR,21.5,16.9,3.88,18.7,1095.0
110_26_16,ILSXISS110/TejJ,m,DR,24.9,20.2,3.63,15.2,735.0
110_26_17,ILSXISS110/TejJ,m,DR,24.9,19.6,4.46,18.6,889.0
110_26_21,ILSXISS110/TejJ,m,DR,26.2,20.1,3.93,16.4,1204.0
110_26_22,ILSXISS110/TejJ,m,DR,24.3,18.9,3.4,15.2,1204.0
112_29_15,ILSXISS112/TejJ,f,DR,20.5,15.0,3.82,20.3,1172.0
112_29_16,ILSXISS112/TejJ,f,DR,18.9,15.0,2.39,13.8,1222.0
112_29_17,ILSXISS112/TejJ,f,DR,20.9,15.1,2.67,15.0,776.0
112_29_18,ILSXISS112/TejJ,f,DR,20.5,15.0,2.67,15.0,189.0
112_29_19,ILSXISS112/TejJ,f,DR,20.5,15.0,2.67,15.0,203.0
112_29_21,ILSXISS112/TejJ,m,DR,25.0,18.1,4.82,21.0,950.0
112_29_30,ILSXISS112/TejJ,m,DR,30.8,19.8,8.87,30.9,997.0
112_29_31,ILSXISS112/TejJ,m,DR,31.0,20.0,8.6,30.0,1004.0
112_29_35,ILSXISS112/TejJ,m,DR,33.7,19.9,11.5,36.6,1126.0
114_29_12,ILSXISS114/TejJ,f,DR,23.4,17.4,4.32,20.0,397.0
114_29_13,ILSXISS114/TejJ,f,DR,23.4,17.4,4.32,20.0,447.0
114_29_14,ILSXISS114/TejJ,f,DR,23.4,17.4,4.32,20.0,331.0
114_29_15,ILSXISS114/TejJ,f,DR,23.4,17.4,4.32,20.0,151.0
114_29_11,ILSXISS114/TejJ,m,DR,16.0,13.7,1.76,11.4,542.0
114_29_16,ILSXISS114/TejJ,m,DR,15.9,12.7,1.31,9.34,793.0
115_28_11,ILSXISS115/TejJ,f,DR,23.4,17.4,4.32,20.0,147.0
115_28_16,ILSXISS115/TejJ,f,DR,23.4,17.4,4.32,20.0,79.0
115_28_12,ILSXISS115/TejJ,m,DR,23.4,17.4,4.32,20.0,407.0
115_28_13,ILSXISS115/TejJ,m,DR,23.4,17.4,4.32,20.0,227.0
115_28_14,ILSXISS115/TejJ,m,DR,23.4,17.4,4.32,20.0,198.0
115_28_15,ILSXISS115/TejJ,m,DR,23.4,17.4,4.32,20.0,339.0
117_30_18,ILSXISS117,f,DR,19.3,10.6,4.91,31.6,1078.0
117_30_19,ILSXISS117,f,DR,18.9,16.1,2.52,13.6,927.0
117_30_12,ILSXISS117,m,DR,25.6,19.8,3.79,16.1,762.0
117_30_13,ILSXISS117,m,DR,25.65,18.450000000000003,3.685,16.4,483.0
117_30_14,ILSXISS117,m,DR,26.3,19.1,6.04,24.0,745.0
117_30_6,ILSXISS117,m,DR,25.7,17.8,3.58,16.7,696.0
117_30_7,ILSXISS117,m,DR,24.3,17.2,2.25,11.6,557.0
122_30_15,ILSXISS122/TejJ,f,DR,23.4,17.4,4.32,20.0,263.0
122_30_16,ILSXISS122/TejJ,f,DR,23.4,17.4,4.32,20.0,455.0
122_30_17,ILSXISS122/TejJ,f,DR,23.4,17.4,4.32,20.0,178.0
122_30_18,ILSXISS122/TejJ,m,DR,19.4,14.1,2.47,14.9,840.0
122_30_19,ILSXISS122/TejJ,m,DR,19.4,14.9,2.47,14.3,473.0
122_30_20,ILSXISS122/TejJ,m,DR,19.4,14.9,2.47,14.3,362.0
122_30_21,ILSXISS122/TejJ,m,DR,20.2,16.6,2.09,11.2,893.0
122_30_22,ILSXISS122/TejJ,m,DR,17.9,14.9,2.48,14.3,857.0
123_30_11,ILSXISS123/TejJ,f,DR,19.5,14.0,1.79,11.4,1196.0
123_30_17,ILSXISS123/TejJ,f,DR,16.5,13.8,1.83,11.7,616.0
123_30_19,ILSXISS123/TejJ,f,DR,20.3,15.5,3.02,16.3,1033.0
123_30_20,ILSXISS123/TejJ,f,DR,20.2,14.2,2.95,17.2,1093.0
123_30_21,ILSXISS123/TejJ,f,DR,13.7,10.5,1.53,12.7,1122.0
123_30_12,ILSXISS123/TejJ,m,DR,22.7,18.5,3.64,16.4,820.0
123_30_13,ILSXISS123/TejJ,m,DR,23.1,17.6,3.83,17.9,985.0
123_30_14,ILSXISS123/TejJ,m,DR,21.3,16.1,4.0,19.9,993.0
123_30_15,ILSXISS123/TejJ,m,DR,22.9,18.0,3.56,16.5,928.0
123_30_16,ILSXISS123/TejJ,m,DR,22.2,16.6,4.48,21.2,1044.0
13_27_12,ILSXISS13/TejJ,f,DR,19.3,13.4,3.7,21.0,187.0
13_27_17,ILSXISS13/TejJ,f,DR,19.0,12.9,3.75,22.6,937.0
13_27_18,ILSXISS13/TejJ,f,DR,19.6,13.9,3.7,21.0,673.0
13_27_19,ILSXISS13/TejJ,f,DR,20.1,14.0,3.7,20.9,967.0
13_27_20,ILSXISS13/TejJ,f,DR,17.8,12.4,3.31,21.0,977.0
13_27_13,ILSXISS13/TejJ,m,DR,23.2,16.6,5.55,25.1,962.0
13_27_14,ILSXISS13/TejJ,m,DR,22.0,15.8,4.41,21.8,927.0
13_27_15,ILSXISS13/TejJ,m,DR,22.8,17.0,4.21,19.9,973.0
13_27_16,ILSXISS13/TejJ,m,DR,20.5,15.1,3.79,20.1,956.0
13_27_6,ILSXISS13/TejJ,m,DR,20.5,16.0,3.89,19.5,846.0
14_29_11,ILSXISS14/TejJ,m,DR,24.8,18.5,4.02,17.8,1041.0
14_29_12,ILSXISS14/TejJ,m,DR,24.5,18.4,3.51,16.0,1084.0
14_29_14,ILSXISS14/TejJ,m,DR,18.9,14.6,3.79,20.6,1026.0
14_29_6,ILSXISS14/TejJ,m,DR,20.4,17.6,2.56,12.7,1100.0
14_29_7,ILSXISS14/TejJ,m,DR,22.0,18.9,3.01,13.7,925.0
16_28_13,ILSXISS16/TejJ,f,DR,23.0,16.8,2.93,14.8,631.0
16_28_14,ILSXISS16/TejJ,f,DR,22.0,13.4,3.0,18.3,549.0
16_28_15,ILSXISS16/TejJ,f,DR,16.1,11.9,2.32,16.3,658.0
16_28_16,ILSXISS16/TejJ,f,DR,16.1,12.1,1.68,12.2,485.0
16_28_17,ILSXISS16/TejJ,f,DR,18.8,13.2,4.78,26.7,854.0
16_28_20,ILSXISS16/TejJ,m,DR,16.7,12.8,1.39,9.77,426.0
16_28_21,ILSXISS16/TejJ,m,DR,16.6,12.850000000000001,2.055,13.584999999999999,391.0
16_28_23,ILSXISS16/TejJ,m,DR,16.5,12.9,2.72,17.4,701.0
16_28_24,ILSXISS16/TejJ,m,DR,16.6,12.850000000000001,2.055,13.584999999999999,91.0
19_29_12,ILSXISS19/TejJ,f,DR,14.9,11.5,1.62,12.3,661.0
19_29_13,ILSXISS19/TejJ,f,DR,13.9,10.5,1.38,11.6,526.0
19_29_14,ILSXISS19/TejJ,f,DR,16.0,12.0,1.84,13.2,152.0
19_29_15,ILSXISS19/TejJ,f,DR,17.2,12.8,2.23,14.8,1027.0
19_29_6,ILSXISS19/TejJ,f,DR,17.1,12.5,2.06,14.1,1005.0
19_29_18,ILSXISS19/TejJ,m,DR,16.4,11.9,1.46,10.9,610.0
19_29_19,ILSXISS19/TejJ,m,DR,15.25,12.4,1.73,12.15,373.0
19_29_20,ILSXISS19/TejJ,m,DR,15.25,12.4,1.73,12.15,395.0
19_29_24,ILSXISS19/TejJ,m,DR,14.1,12.9,2.0,13.4,471.0
22_31_10,ILSXISS22/TejJ,m,DR,23.8,16.8,5.92,26.1,884.0
22_31_11,ILSXISS22/TejJ,m,DR,23.4,17.1,5.47,24.3,1054.0
22_31_12,ILSXISS22/TejJ,m,DR,24.0,17.5,4.6,20.8,1020.0
22_31_13,ILSXISS22/TejJ,m,DR,24.6,18.1,4.78,20.9,1054.0
23_28_33,ILSXISS23/TejJ,f,DR,14.2,11.0,2.03,15.6,906.0
23_28_34,ILSXISS23/TejJ,f,DR,14.6,10.9,2.38,19.2,220.0
23_28_35,ILSXISS23/TejJ,f,DR,13.5,10.9,2.8,20.4,873.0
23_28_36,ILSXISS23/TejJ,f,DR,12.2,10.0,2.38,19.2,638.0
23_28_37,ILSXISS23/TejJ,f,DR,12.5,10.8,2.14,16.6,852.0
23_28_40,ILSXISS23/TejJ,f,DR,18.0,12.0,3.15,20.8,638.0
23_28_41,ILSXISS23/TejJ,f,DR,14.6,10.9,2.38,19.2,162.0
23_28_42,ILSXISS23/TejJ,f,DR,15.2,10.7,1.6,13.0,529.0
23_28_43,ILSXISS23/TejJ,f,DR,17.5,11.5,3.41,22.9,851.0
23_28_44,ILSXISS23/TejJ,f,DR,16.8,11.7,4.59,28.2,909.0
23_28_45,ILSXISS23/TejJ,f,DR,16.4,12.3,3.33,21.2,594.0
23_28_50,ILSXISS23/TejJ,f,DR,14.6,10.7,2.26,17.4,579.0
23_28_51,ILSXISS23/TejJ,f,DR,14.0,10.4,2.27,17.9,601.0
23_28_52,ILSXISS23/TejJ,f,DR,14.6,10.9,2.38,19.2,221.0
23_28_25,ILSXISS23/TejJ,m,DR,21.0,16.4,3.68,18.4,1016.0
23_28_26,ILSXISS23/TejJ,m,DR,19.0,13.9,2.98,17.6,894.0
23_28_27,ILSXISS23/TejJ,m,DR,21.0,14.8,4.19,22.0,1034.0
23_28_38,ILSXISS23/TejJ,m,DR,20.5,14.4,3.61,20.0,913.0
23_28_39,ILSXISS23/TejJ,m,DR,22.2,14.4,5.33,27.0,1035.0
23_28_46,ILSXISS23/TejJ,m,DR,19.1,14.5,4.31,23.0,950.0
23_28_47,ILSXISS23/TejJ,m,DR,19.9,14.4,3.805,21.35,255.0
23_28_48,ILSXISS23/TejJ,m,DR,19.3,14.0,3.93,21.9,979.0
23_28_49,ILSXISS23/TejJ,m,DR,18.7,13.6,3.58,20.8,1016.0
24_27_11,ILSXISS24/TejJ,f,DR,15.6,12.8,3.64,22.1,645.0
24_27_12,ILSXISS24/TejJ,f,DR,15.2,11.4,2.5,19.4,494.0
24_27_14,ILSXISS24/TejJ,f,DR,15.2,11.4,2.5,19.4,126.0
24_27_17,ILSXISS24/TejJ,f,DR,15.2,11.4,2.46,17.7,619.0
24_27_20,ILSXISS24/TejJ,f,DR,14.5,10.4,2.5,19.4,561.0
24_27_13,ILSXISS24/TejJ,m,DR,17.7,14.2,1.78,10.9,149.0
24_27_15,ILSXISS24/TejJ,m,DR,17.7,14.5,1.78,10.9,947.0
24_27_16,ILSXISS24/TejJ,m,DR,14.8,11.6,1.05,8.27,494.0
24_27_18,ILSXISS24/TejJ,m,DR,20.9,14.2,2.54,15.2,901.0
24_27_19,ILSXISS24/TejJ,m,DR,17.7,14.2,1.78,10.9,134.0
25_27_11,ILSXISS25/TejJ,f,DR,13.1,11.9,1.32,10.0,174.0
25_27_12,ILSXISS25/TejJ,f,DR,13.1,11.9,1.32,10.0,506.0
25_27_14,ILSXISS25/TejJ,f,DR,13.1,11.9,1.32,10.0,323.0
25_27_15,ILSXISS25/TejJ,m,DR,23.6,18.4,4.36,19.2,1078.0
25_27_16,ILSXISS25/TejJ,m,DR,25.6,18.1,5.82,24.3,1070.0
25_27_17,ILSXISS25/TejJ,m,DR,27.2,19.6,5.8,22.8,1086.0
25_27_18,ILSXISS25/TejJ,m,DR,23.1,17.3,5.05,22.6,1039.0
25_27_22,ILSXISS25/TejJ,m,DR,19.5,15.1,3.37,18.2,901.0
26_27_15,ILSXISS26/TejJ,f,DR,19.1,15.1,3.18,17.4,1122.0
26_27_17,ILSXISS26/TejJ,f,DR,19.3,13.8,3.61,20.8,732.0
26_27_18,ILSXISS26/TejJ,f,DR,19.0,13.9,3.3,19.2,1020.0
26_27_19,ILSXISS26/TejJ,f,DR,19.0,13.6,3.16,18.8,1126.0
26_27_24,ILSXISS26/TejJ,f,DR,14.4,11.3,1.5,11.8,665.0
26_27_13,ILSXISS26/TejJ,m,DR,20.6,15.6,1.66,9.62,857.0
26_27_14,ILSXISS26/TejJ,m,DR,19.2,16.5,3.03,15.6,854.0
26_27_16,ILSXISS26/TejJ,m,DR,22.5,17.1,2.96,14.8,1012.0
26_27_6,ILSXISS26/TejJ,m,DR,20.5,16.4,2.2,11.8,954.0
26_27_7,ILSXISS26/TejJ,m,DR,21.2,17.1,2.98,14.8,871.0
28_29_10,ILSXISS28/TejJ,f,DR,21.0,16.1,4.79,22.9,845.0
28_29_11,ILSXISS28/TejJ,f,DR,21.4,15.2,3.76,19.8,575.0
28_29_15,ILSXISS28/TejJ,f,DR,21.2,15.65,4.275,21.35,568.0
28_29_16,ILSXISS28/TejJ,f,DR,21.2,15.65,4.275,21.35,888.0
3_28_22,ILSXISS3/TejJ,f,DR,23.2,16.4,6.01,26.9,981.0
3_28_23,ILSXISS3/TejJ,f,DR,31.6,17.5,13.3,43.2,1158.0
3_28_25,ILSXISS3/TejJ,f,DR,25.5,16.8,7.42,30.6,1165.0
3_28_26,ILSXISS3/TejJ,f,DR,24.4,15.4,7.13,31.6,792.0
3_28_32,ILSXISS3/TejJ,f,DR,22.3,13.3,7.84,37.1,1127.0
3_28_11,ILSXISS3/TejJ,m,DR,32.7,21.45,10.004999999999999,31.85,159.0
3_28_12,ILSXISS3/TejJ,m,DR,29.7,21.2,6.88,24.5,581.0
3_28_13,ILSXISS3/TejJ,m,DR,31.9,21.1,9.31,30.7,774.0
3_28_14,ILSXISS3/TejJ,m,DR,33.5,21.7,10.7,33.0,661.0
3_28_15,ILSXISS3/TejJ,m,DR,34.1,22.3,11.3,33.6,943.0
41_29_20,ILSXISS41/TejJ,f,DR,15.8,13.0,2.52,18.6,355.0
41_29_21,ILSXISS41/TejJ,f,DR,16.2,13.0,3.08,19.1,894.0
41_29_22,ILSXISS41/TejJ,f,DR,13.7,11.0,2.52,18.6,664.0
41_29_23,ILSXISS41/TejJ,f,DR,15.8,13.0,2.48,16.0,872.0
41_29_24,ILSXISS41/TejJ,f,DR,15.8,13.0,2.52,18.6,229.0
41_29_12,ILSXISS41/TejJ,m,DR,24.6,18.2,2.89,13.7,708.0
41_29_13,ILSXISS41/TejJ,m,DR,22.4,17.4,4.2,19.5,707.0
41_29_14,ILSXISS41/TejJ,m,DR,20.7,15.5,1.68,9.8,504.0
41_29_18,ILSXISS41/TejJ,m,DR,21.4,15.6,3.27,17.3,654.0
41_29_19,ILSXISS41/TejJ,m,DR,19.4,15.8,2.62,14.2,643.0
46_26_11,ILSXISS46/TejJ,f,DR,21.6,13.7,6.61,32.5,1215.0
46_26_12,ILSXISS46/TejJ,f,DR,17.8,12.6,3.15,20.0,1235.0
46_26_13,ILSXISS46/TejJ,f,DR,19.5,14.0,3.67,20.8,1238.0
46_26_14,ILSXISS46/TejJ,f,DR,18.3,12.3,4.62,27.3,1244.0
46_26_15,ILSXISS46/TejJ,f,DR,20.9,13.2,6.27,32.3,1196.0
48_30_16,ILSXISS48/TejJ,f,DR,19.3,15.6,3.04,16.3,1075.0
48_30_17,ILSXISS48/TejJ,f,DR,20.3,15.7,3.54,18.4,939.0
48_30_23,ILSXISS48/TejJ,f,DR,17.4,14.4,2.31,13.8,787.0
48_30_24,ILSXISS48/TejJ,f,DR,20.8,15.1,3.26,17.8,1076.0
48_30_28,ILSXISS48/TejJ,f,DR,19.8,15.35,3.15,17.05,723.0
48_30_10,ILSXISS48/TejJ,m,DR,24.3,19.3,3.33,14.7,969.0
48_30_11,ILSXISS48/TejJ,m,DR,22.3,18.6,3.19,14.6,882.0
48_30_12,ILSXISS48/TejJ,m,DR,24.5,19.7,3.13,13.7,916.0
48_30_6,ILSXISS48/TejJ,m,DR,22.0,16.6,3.15,16.0,705.0
48_30_9,ILSXISS48/TejJ,m,DR,26.0,20.6,4.12,16.7,995.0
49_27_12,ILSXISS49/TejJ,f,DR,19.7,15.9,2.82,15.1,573.0
49_27_15,ILSXISS49/TejJ,f,DR,20.2,14.7,3.97,21.3,1072.0
49_27_16,ILSXISS49/TejJ,f,DR,19.9,14.9,3.06,17.0,1054.0
49_27_17,ILSXISS49/TejJ,f,DR,21.0,15.6,4.37,21.9,1194.0
49_27_20,ILSXISS49/TejJ,f,DR,14.6,11.6,1.67,12.6,1057.0
49_27_11,ILSXISS49/TejJ,m,DR,19.1,15.1,2.04,11.9,753.0
49_27_13,ILSXISS49/TejJ,m,DR,22.3,17.4,3.34,16.1,992.0
49_27_14,ILSXISS49/TejJ,m,DR,23.5,17.1,2.95,14.7,900.0
49_27_18,ILSXISS49/TejJ,m,DR,20.700000000000003,16.1,2.495,13.3,340.0
49_27_19,ILSXISS49/TejJ,m,DR,16.4,13.8,1.73,11.1,1015.0
