strain,sex,animal_id,bw_AL,bw_DR,lean_AL,lean_DR,fat_AL,fat_DR,pct_fat_AL,pct_fat_DR,lifespan_AL,lifespan_DR
ILSXISS24/TejJ,f,24_27_7,28.0,,15.2,,11.0,,42.0,,1023.0,
ILSXISS24/TejJ,f,24_27_8,23.6,,12.5,,9.56,,43.4,,1159.0,
ILSXISS24/TejJ,m,24_27_1,29.4,,22.1,,6.26,,22.1,,940.0,
ILSXISS24/TejJ,m,24_27_10,33.2,,20.8,,10.3,,33.1,,703.0,
ILSXISS24/TejJ,m,24_27_13,,,,,,,,,,149.0
ILSXISS24/TejJ,m,24_27_15,,17.7,,14.5,,1.78,,10.9,,947.0
ILSXISS24/TejJ,m,24_27_16,,14.8,,11.6,,1.05,,8.27,,494.0
ILSXISS24/TejJ,m,24_27_18,,20.9,,14.2,,2.54,,15.2,,901.0
ILSXISS24/TejJ,m,24_27_19,,,,,,,,,,134.0
ILSXISS24/TejJ,m,24_27_2,35.1,,22.5,,11.4,,33.5,,829.0,
ILSXISS24/TejJ,m,24_27_3,22.3,,17.4,,2.4,,12.1,,554.0,
ILSXISS24/TejJ,m,24_27_9,38.2,,22.9,,14.2,,38.2,,918.0,
ILSXISS25/TejJ,f,25_27_10,28.5,,20.0,,7.47,,27.2,,993.0,
ILSXISS25/TejJ,f,25_27_11,,,,,,,,,,174.0
ILSXISS25/TejJ,f,25_27_12,,13.1,,11.9,,1.32,,10.0,,506.0
ILSXISS25/TejJ,f,25_27_14,,,,,,,,,,323.0
ILSXISS25/TejJ,f,25_27_3,31.7,,19.5,,8.68,,30.8,,949.0,
ILSXISS25/TejJ,f,25_27_4,26.0,,18.0,,6.64,,26.9,,972.0,
ILSXISS25/TejJ,f,25_27_7,31.6,,20.4,,10.0,,32.9,,979.0,
ILSXISS25/TejJ,f,25_27_9,28.2,,19.6,,7.78,,28.4,,1046.0,
ILSXISS25/TejJ,m,25_27_1,32.2,,23.8,,6.22,,20.7,,899.0,
ILSXISS25/TejJ,m,25_27_15,,23.6,,18.4,,4.36,,19.2,,1078.0
ILSXISS25/TejJ,m,25_27_16,,25.6,,18.1,,5.82,,24.3,,1070.0
ILSXISS25/TejJ,m,25_27_17,,27.2,,19.6,,5.8,,22.8,,1086.0
ILSXISS25/TejJ,m,25_27_18,,23.1,,17.3,,5.05,,22.6,,1039.0
ILSXISS25/TejJ,m,25_27_2,31.9,,23.2,,8.13,,25.9,,1019.0,
ILSXISS25/TejJ,m,25_27_22,,19.5,,15.1,,3.37,,18.2,,901.0
ILSXISS25/TejJ,m,25_27_5,36.9,,23.1,,7.29,,24.0,,556.0,
ILSXISS25/TejJ,m,25_27_6,32.2,,22.9,,7.02,,23.4,,1068.0,
ILSXISS25/TejJ,m,25_27_8,32.7,,23.6,,6.84,,22.5,,979.0,
ILSXISS26/TejJ,f,26_27_10,23.4,,17.6,,5.9,,25.1,,1029.0,
ILSXISS26/TejJ,f,26_27_11,26.1,,18.6,,6.57,,26.1,,1058.0,
ILSXISS26/TejJ,f,26_27_12,22.4,,16.4,,4.1,,20.0,,1049.0,
ILSXISS26/TejJ,f,26_27_15,,19.1,,15.1,,3.18,,17.4,,1122.0
ILSXISS26/TejJ,f,26_27_17,,19.3,,13.8,,3.61,,20.8,,732.0
ILSXISS26/TejJ,f,26_27_18,,19.0,,13.9,,3.3,,19.2,,1020.0
ILSXISS26/TejJ,f,26_27_19,,19.0,,13.6,,3.16,,18.8,,1126.0
ILSXISS26/TejJ,f,26_27_24,,14.4,,11.3,,1.5,,11.8,,665.0
ILSXISS26/TejJ,f,26_27_8,24.2,,19.4,,5.48,,22.0,,1071.0,
ILSXISS26/TejJ,f,26_27_9,23.5,,15.9,,7.3,,31.4,,959.0,
ILSXISS26/TejJ,m,26_27_1,36.6,,25.9,,9.42,,26.7,,897.0,
ILSXISS26/TejJ,m,26_27_13,,20.6,,15.6,,1.66,,9.62,,857.0
ILSXISS26/TejJ,m,26_27_14,,19.2,,16.5,,3.03,,15.6,,854.0
ILSXISS26/TejJ,m,26_27_16,,22.5,,17.1,,2.96,,14.8,,1012.0
ILSXISS26/TejJ,m,26_27_2,37.5,,24.1,,11.4,,32.2,,1043.0,
ILSXISS26/TejJ,m,26_27_3,33.7,,23.8,,8.82,,27.1,,1066.0,
ILSXISS26/TejJ,m,26_27_4,34.1,,23.1,,9.6,,29.4,,1065.0,
ILSXISS26/TejJ,m,26_27_5,40.5,,25.0,,13.9,,35.8,,1022.0,
ILSXISS26/TejJ,m,26_27_6,,20.5,,16.4,,2.2,,11.8,,954.0
ILSXISS26/TejJ,m,26_27_7,,21.2,,17.1,,2.98,,14.8,,871.0
ILSXISS28/TejJ,f,28_29_10,,21.0,,16.1,,4.79,,22.9,,845.0
ILSXISS28/TejJ,f,28_29_11,,21.4,,15.2,,3.76,,19.8,,575.0
ILSXISS28/TejJ,f,28_29_15,,,,,,,,,,568.0
ILSXISS28/TejJ,f,28_29_16,,,,,,,,,,888.0
ILSXISS28/TejJ,f,28_29_3,25.0,,21.1,,4.14,,16.4,,764.0,
ILSXISS28/TejJ,f,28_29_4,26.2,,19.0,,3.2,,14.4,,657.0,
ILSXISS28/TejJ,f,28_29_6,25.2,,20.2,,3.67,,15.4,,658.0,
ILSXISS28/TejJ,f,28_29_8,21.9,,17.4,,3.77,,17.8,,716.0,
ILSXISS28/TejJ,f,28_29_9,20.0,,15.8,,2.7,,14.6,,824.0,
ILSXISS3/TejJ,f,3_28_10,24.0,,18.2,,4.74,,20.6,,1045.0,
ILSXISS3/TejJ,f,3_28_16,26.8,,20.1,,5.73,,22.2,,734.0,
ILSXISS3/TejJ,f,3_28_22,,23.2,,16.4,,6.01,,26.9,,981.0
ILSXISS3/TejJ,f,3_28_23,,31.6,,17.5,,13.3,,43.2,,1158.0
ILSXISS3/TejJ,f,3_28_25,,25.5,,16.8,,7.42,,30.6,,1165.0
ILSXISS3/TejJ,f,3_28_26,,24.4,,15.4,,7.13,,31.6,,792.0
ILSXISS3/TejJ,f,3_28_32,,22.3,,13.3,,7.84,,37.1,,1127.0
ILSXISS3/TejJ,f,3_28_5,24.2,,15.3,,5.15,,25.2,,1214.0,
ILSXISS3/TejJ,f,3_28_8,25.0,,18.0,,5.71,,24.1,,836.0,
ILSXISS3/TejJ,f,3_28_9,25.0,,17.9,,5.13,,22.3,,1048.0,
ILSXISS3/TejJ,m,3_28_1,26.9,,21.8,,7.18,,24.8,,700.0,
ILSXISS3/TejJ,m,3_28_11,,,,,,,,,,159.0
ILSXISS3/TejJ,m,3_28_12,,29.7,,21.2,,6.88,,24.5,,581.0
ILSXISS3/TejJ,m,3_28_13,,31.9,,21.1,,9.31,,30.7,,774.0
ILSXISS3/TejJ,m,3_28_14,,33.5,,21.7,,10.7,,33.0,,661.0
ILSXISS3/TejJ,m,3_28_15,,34.1,,22.3,,11.3,,33.6,,943.0
ILSXISS3/TejJ,m,3_28_2,,,,,,,,,96.0,
ILSXISS3/TejJ,m,3_28_3,,,,,,,,,99.0,
ILSXISS3/TejJ,m,3_28_4,29.0,,21.9,,5.83,,21.0,,803.0,
ILSXISS3/TejJ,m,3_28_7,25.9,,21.4,,4.76,,18.2,,1064.0,
ILSXISS41/TejJ,f,41_29_10,28.6,,19.5,,8.4,,30.1,,986.0,
ILSXISS41/TejJ,f,41_29_11,25.9,,19.3,,6.97,,26.5,,771.0,
ILSXISS41/TejJ,f,41_29_15,24.8,,17.2,,6.82,,28.4,,843.0,
ILSXISS41/TejJ,f,41_29_16,21.4,,15.8,,3.34,,17.4,,994.0,
ILSXISS41/TejJ,f,41_29_17,26.1,,19.0,,6.72,,26.1,,1002.0,
ILSXISS41/TejJ,f,41_29_20,,,,,,,,,,355.0
ILSXISS41/TejJ,f,41_29_21,,16.2,,13.0,,3.08,,19.1,,894.0
ILSXISS41/TejJ,f,41_29_22,,13.7,,11.0,,2.52,,18.6,,664.0
ILSXISS41/TejJ,f,41_29_23,,15.8,,13.0,,2.48,,16.0,,872.0
ILSXISS41/TejJ,f,41_29_24,,,,,,,,,,229.0
ILSXISS41/TejJ,m,41_29_12,,24.6,,18.2,,2.89,,13.7,,708.0
ILSXISS41/TejJ,m,41_29_13,,22.4,,17.4,,4.2,,19.5,,707.0
ILSXISS41/TejJ,m,41_29_14,,20.7,,15.5,,1.68,,9.8,,504.0
ILSXISS41/TejJ,m,41_29_18,,21.4,,15.6,,3.27,,17.3,,654.0
ILSXISS41/TejJ,m,41_29_19,,19.4,,15.8,,2.62,,14.2,,643.0
ILSXISS41/TejJ,m,41_29_5,31.3,,23.2,,6.59,,22.1,,787.0,
ILSXISS41/TejJ,m,41_29_6,28.9,,21.2,,6.22,,22.7,,849.0,
ILSXISS41/TejJ,m,41_29_7,29.9,,22.5,,6.17,,21.5,,788.0,
ILSXISS41/TejJ,m,41_29_8,28.2,,21.8,,5.43,,19.9,,787.0,
ILSXISS41/TejJ,m,41_29_9,25.7,,20.1,,4.34,,17.7,,749.0,
ILSXISS46/TejJ,f,46_26_11,,21.6,,13.7,,6.61,,32.5,,1215.0
ILSXISS46/TejJ,f,46_26_12,,17.8,,12.6,,3.15,,20.0,,1235.0
ILSXISS46/TejJ,f,46_26_13,,19.5,,14.0,,3.67,,20.8,,1238.0
ILSXISS46/TejJ,f,46_26_14,,18.3,,12.3,,4.62,,27.3,,1244.0
ILSXISS46/TejJ,f,46_26_15,,20.9,,13.2,,6.27,,32.3,,1196.0
ILSXISS46/TejJ,f,46_26_4,25.4,,18.2,,7.06,,27.9,,924.0,
ILSXISS46/TejJ,f,46_26_5,24.1,,17.0,,5.94,,25.9,,1147.0,
ILSXISS46/TejJ,f,46_26_6,28.1,,17.6,,8.01,,31.3,,1028.0,
ILSXISS46/TejJ,f,46_26_7,31.2,,19.0,,9.1,,32.4,,1160.0,
ILSXISS46/TejJ,f,46_26_8,22.6,,16.9,,3.92,,18.9,,1149.0,
ILSXISS48/TejJ,f,48_30_13,27.7,,21.7,,5.37,,19.9,,898.0,
ILSXISS48/TejJ,f,48_30_14,23.8,,19.1,,3.56,,15.7,,598.0,
ILSXISS48/TejJ,f,48_30_15,29.4,,22.3,,5.5,,19.8,,646.0,
ILSXISS48/TejJ,f,48_30_16,,19.3,,15.6,,3.04,,16.3,,1075.0
ILSXISS48/TejJ,f,48_30_17,,20.3,,15.7,,3.54,,18.4,,939.0
ILSXISS48/TejJ,f,48_30_23,,17.4,,14.4,,2.31,,13.8,,787.0
ILSXISS48/TejJ,f,48_30_24,,20.8,,15.1,,3.26,,17.8,,1076.0
ILSXISS48/TejJ,f,48_30_28,,,,,,,,,,723.0
ILSXISS48/TejJ,f,48_30_7,27.4,,19.8,,4.6,,18.9,,1136.0,
ILSXISS48/TejJ,f,48_30_8,25.8,,18.6,,4.79,,20.5,,980.0,
ILSXISS48/TejJ,m,48_30_1,29.2,,23.0,,3.17,,12.1,,580.0,
ILSXISS48/TejJ,m,48_30_10,,24.3,,19.3,,3.33,,14.7,,969.0
ILSXISS48/TejJ,m,48_30_11,,22.3,,18.6,,3.19,,14.6,,882.0
ILSXISS48/TejJ,m,48_30_12,,24.5,,19.7,,3.13,,13.7,,916.0
ILSXISS48/TejJ,m,48_30_2,36.1,,25.2,,8.17,,24.4,,751.0,
ILSXISS48/TejJ,m,48_30_3,32.0,,24.0,,6.26,,20.7,,733.0,
ILSXISS48/TejJ,m,48_30_4,30.3,,22.6,,6.54,,22.4,,961.0,
ILSXISS48/TejJ,m,48_30_5,33.6,,24.7,,7.01,,22.1,,941.0,
ILSXISS48/TejJ,m,48_30_6,,22.0,,16.6,,3.15,,16.0,,705.0
ILSXISS48/TejJ,m,48_30_9,,26.0,,20.6,,4.12,,16.7,,995.0
ILSXISS49/TejJ,f,49_27_10,22.8,,18.2,,3.97,,17.9,,712.0,
ILSXISS49/TejJ,f,49_27_12,,19.7,,15.9,,2.82,,15.1,,573.0
ILSXISS49/TejJ,f,49_27_15,,20.2,,14.7,,3.97,,21.3,,1072.0
ILSXISS49/TejJ,f,49_27_16,,19.9,,14.9,,3.06,,17.0,,1054.0
ILSXISS49/TejJ,f,49_27_17,,21.0,,15.6,,4.37,,21.9,,1194.0
ILSXISS49/TejJ,f,49_27_20,,14.6,,11.6,,1.67,,12.6,,1057.0
ILSXISS49/TejJ,f,49_27_3,25.0,,21.8,,3.62,,14.3,,629.0,
ILSXISS49/TejJ,f,49_27_4,23.0,,17.9,,5.55,,23.6,,791.0,
ILSXISS49/TejJ,f,49_27_7,24.1,,17.9,,5.15,,22.4,,646.0,
ILSXISS49/TejJ,f,49_27_8,19.9,,16.2,,2.71,,14.3,,771.0,
ILSXISS49/TejJ,m,49_27_1,25.3,,21.1,,2.96,,12.3,,580.0,
ILSXISS49/TejJ,m,49_27_11,,19.1,,15.1,,2.04,,11.9,,753.0
ILSXISS49/TejJ,m,49_27_13,,22.3,,17.4,,3.34,,16.1,,992.0
ILSXISS49/TejJ,m,49_27_14,,23.5,,17.1,,2.95,,14.7,,900.0
ILSXISS49/TejJ,m,49_27_18,,,,,,,,,,340.0
ILSXISS49/TejJ,m,49_27_19,,16.4,,13.8,,1.73,,11.1,,1015.0
ILSXISS49/TejJ,m,49_27_2,32.2,,23.3,,7.82,,25.1,,1026.0,
ILSXISS49/TejJ,m,49_27_5,30.6,,24.2,,5.17,,17.6,,909.0,
ILSXISS49/TejJ,m,49_27_9,28.1,,22.6,,7.52,,25.0,,875.0,
ILSXISS50/TejJ,f,50_29_1,,,,,,,,,445.0,
ILSXISS50/TejJ,f,50_29_10,,,,,,,,,241.0,
ILSXISS50/TejJ,f,50_29_12,,22.2,,16.3,,4.48,,21.6,,922.0
ILSXISS50/TejJ,f,50_29_17,,,,,,,,,,402.0
ILSXISS50/TejJ,f,50_29_18,,20.2,,15.6,,3.78,,19.5,,944.0
ILSXISS50/TejJ,f,50_29_19,,19.2,,14.0,,4.43,,24.1,,922.0
ILSXISS50/TejJ,f,50_29_20,,18.7,,13.4,,4.56,,25.3,,862.0
ILSXISS50/TejJ,f,50_29_5,24.6,,19.9,,3.26,,14.1,,778.0,
ILSXISS50/TejJ,f,50_29_6,,,,,,,,,291.0,
ILSXISS50/TejJ,f,50_29_7,,,,,,,,,284.0,
ILSXISS50/TejJ,m,50_29_11,,,,,,,,,,429.0
ILSXISS50/TejJ,m,50_29_13,,,,,,,,,,332.0
ILSXISS50/TejJ,m,50_29_14,,18.4,,16.7,,2.01,,10.8,,584.0
ILSXISS50/TejJ,m,50_29_15,,,,,,,,,,388.0
ILSXISS50/TejJ,m,50_29_16,,,,,,,,,,459.0
ILSXISS50/TejJ,m,50_29_2,,,,,,,,,340.0,
ILSXISS50/TejJ,m,50_29_3,,,,,,,,,382.0,
ILSXISS50/TejJ,m,50_29_4,,,,,,,,,459.0,
ILSXISS50/TejJ,m,50_29_8,25.6,,21.4,,3.59,,14.4,,667.0,
ILSXISS50/TejJ,m,50_29_9,27.5,,22.9,,3.71,,14.0,,673.0,
ILSXISS51/TejJ,f,51_29_1,29.0,,20.3,,6.01,,22.9,,1028.0,
ILSXISS51/TejJ,f,51_29_15,,24.0,,15.9,,6.41,,28.7,,1207.0
ILSXISS51/TejJ,f,51_29_2,28.9,,22.2,,5.77,,20.6,,820.0,
ILSXISS51/TejJ,f,51_29_3,31.3,,21.3,,8.88,,29.4,,785.0,
ILSXISS51/TejJ,f,51_29_4,27.9,,19.8,,6.38,,24.4,,918.0,
ILSXISS51/TejJ,f,51_29_5,28.2,,21.3,,5.8,,21.4,,611.0,
ILSXISS51/TejJ,f,51_29_6,,24.3,,17.1,,5.75,,25.1,,1196.0
ILSXISS51/TejJ,f,51_29_7,,22.6,,16.8,,4.14,,19.8,,881.0
ILSXISS51/TejJ,f,51_29_8,,20.6,,14.0,,5.66,,28.8,,1222.0
ILSXISS51/TejJ,f,51_29_9,,24.6,,16.5,,6.87,,29.4,,954.0
ILSXISS51/TejJ,m,51_29_10,32.6,,23.2,,8.5,,26.8,,1018.0,
ILSXISS51/TejJ,m,51_29_11,33.8,,21.6,,11.0,,33.7,,925.0,
ILSXISS51/TejJ,m,51_29_12,30.0,,23.1,,6.3,,21.4,,1107.0,
ILSXISS51/TejJ,m,51_29_13,28.1,,19.4,,7.12,,26.9,,705.0,
ILSXISS51/TejJ,m,51_29_14,35.3,,22.5,,11.4,,33.7,,1044.0,
ILSXISS51/TejJ,m,51_29_16,,32.2,,21.7,,7.01,,24.4,,1150.0
ILSXISS51/TejJ,m,51_29_17,,27.7,,19.0,,6.74,,26.2,,879.0
ILSXISS51/TejJ,m,51_29_25,,28.0,,20.5,,5.79,,22.0,,1102.0
ILSXISS51/TejJ,m,51_29_26,,31.3,,21.8,,7.67,,26.0,,1121.0
ILSXISS51/TejJ,m,51_29_27,,26.4,,20.0,,5.61,,21.9,,596.0
ILSXISS52/TejJ,m,52_27_1,26.7,,21.0,,5.15,,19.7,,815.0,
ILSXISS52/TejJ,m,52_27_10,,20.7,,15.2,,4.07,,21.2,,645.0
ILSXISS52/TejJ,m,52_27_11,,19.6,,15.6,,3.69,,19.2,,666.0
ILSXISS52/TejJ,m,52_27_12,,17.8,,14.7,,2.79,,16.0,,627.0
ILSXISS52/TejJ,m,52_27_15,,17.8,,12.1,,2.36,,16.3,,609.0
ILSXISS52/TejJ,m,52_27_2,25.3,,18.7,,4.41,,19.1,,713.0,
ILSXISS52/TejJ,m,52_27_7,23.0,,19.5,,3.25,,14.3,,520.0,
ILSXISS52/TejJ,m,52_27_8,,,,,,,,,345.0,
ILSXISS52/TejJ,m,52_27_9,29.9,,22.0,,6.68,,23.3,,776.0,
ILSXISS56/TejJ,f,56_26_1,26.1,,16.1,,7.76,,32.5,,1014.0,
ILSXISS56/TejJ,f,56_26_11,,18.5,,14.0,,4.04,,22.4,,884.0
ILSXISS56/TejJ,f,56_26_12,,17.5,,12.1,,3.82,,24.1,,1047.0
ILSXISS56/TejJ,f,56_26_13,,16.4,,12.5,,3.51,,21.9,,1111.0
ILSXISS56/TejJ,f,56_26_14,,17.3,,13.6,,3.23,,19.2,,1131.0
ILSXISS56/TejJ,f,56_26_18,,17.7,,13.4,,3.79,,22.0,,958.0
ILSXISS56/TejJ,f,56_26_2,24.1,,18.0,,5.5,,23.4,,1227.0,
ILSXISS56/TejJ,f,56_26_3,18.3,,15.3,,2.39,,13.5,,575.0,
ILSXISS56/TejJ,f,56_26_4,27.2,,16.6,,10.4,,38.5,,1145.0,
ILSXISS56/TejJ,f,56_26_7,26.5,,15.2,,10.3,,40.5,,1254.0,
ILSXISS56/TejJ,m,56_26_10,37.4,,20.9,,13.9,,40.0,,1277.0,
ILSXISS56/TejJ,m,56_26_15,,17.3,,14.4,,3.73,,20.5,,1295.0
ILSXISS56/TejJ,m,56_26_16,,21.7,,16.4,,4.11,,20.0,,1131.0
ILSXISS56/TejJ,m,56_26_17,,21.2,,16.1,,3.29,,17.0,,1218.0
ILSXISS56/TejJ,m,56_26_19,,21.3,,16.5,,3.3,,16.6,,1194.0
ILSXISS56/TejJ,m,56_26_20,,,,,,,,,,1237.0
ILSXISS56/TejJ,m,56_26_5,36.1,,21.4,,14.0,,39.7,,974.0,
ILSXISS56/TejJ,m,56_26_6,21.7,,16.8,,3.29,,16.4,,1302.0,
ILSXISS56/TejJ,m,56_26_8,36.7,,20.0,,15.0,,42.8,,685.0,
ILSXISS56/TejJ,m,56_26_9,34.6,,20.9,,11.6,,35.7,,1279.0,
ILSXISS60/TejJ,f,60_29_10,,,,,,,,,1073.0,
ILSXISS60/TejJ,f,60_29_11,,,,,,,,,,1189.0
ILSXISS60/TejJ,f,60_29_12,,,,,,,,,,1204.0
ILSXISS60/TejJ,f,60_29_13,,,,,,,,,,773.0
ILSXISS60/TejJ,f,60_29_14,,19.3,,11.9,,6.13,,34.0,,1165.0
ILSXISS60/TejJ,f,60_29_5,,,,,,,,,541.0,
ILSXISS60/TejJ,f,60_29_7,20.5,,16.0,,3.18,,16.6,,1157.0,
ILSXISS60/TejJ,f,60_29_8,,,,,,,,,370.0,
ILSXISS60/TejJ,f,60_29_9,,,,,,,,,1141.0,
ILSXISS62/TejJ,m,62_29_1,31.8,,18.7,,12.0,,39.1,,979.0,
ILSXISS62/TejJ,m,62_29_10,,,,,,,,,,408.0
ILSXISS62/TejJ,m,62_29_11,,,,,,,,,,302.0
ILSXISS62/TejJ,m,62_29_12,,18.0,,14.1,,2.8,,16.6,,658.0
ILSXISS62/TejJ,m,62_29_13,,,,,,,,,,431.0
ILSXISS62/TejJ,m,62_29_14,,21.0,,16.1,,3.82,,19.2,,673.0
ILSXISS62/TejJ,m,62_29_2,32.5,,19.4,,11.4,,37.0,,1055.0,
ILSXISS62/TejJ,m,62_29_3,35.5,,18.8,,14.1,,42.8,,1132.0,
ILSXISS62/TejJ,m,62_29_6,38.7,,21.1,,15.6,,42.5,,1106.0,
ILSXISS62/TejJ,m,62_29_7,36.5,,20.9,,13.5,,39.2,,1036.0,
ILSXISS66/TejJ,f,66_28_10,24.1,,19.3,,2.55,,11.7,,624.0,
ILSXISS66/TejJ,f,66_28_11,,24.4,,16.2,,4.0,,19.8,,967.0
ILSXISS66/TejJ,f,66_28_12,,21.9,,15.1,,3.5,,18.8,,794.0
ILSXISS66/TejJ,f,66_28_13,,22.8,,15.7,,4.6,,22.6,,786.0
ILSXISS66/TejJ,f,66_28_14,,22.4,,14.8,,3.61,,19.6,,839.0
ILSXISS66/TejJ,f,66_28_15,,19.6,,13.9,,2.76,,16.5,,866.0
ILSXISS66/TejJ,f,66_28_5,25.3,,18.8,,4.38,,18.9,,883.0,
ILSXISS66/TejJ,f,66_28_6,23.3,,17.5,,3.38,,16.2,,877.0,
ILSXISS66/TejJ,f,66_28_8,23.0,,18.5,,3.8,,17.1,,743.0,
ILSXISS66/TejJ,f,66_28_9,,,,,,,,,344.0,
ILSXISS66/TejJ,m,66_28_1,32.5,,23.8,,4.53,,16.0,,580.0,
ILSXISS66/TejJ,m,66_28_16,,24.9,,18.0,,4.08,,18.5,,1176.0
ILSXISS66/TejJ,m,66_28_19,,28.1,,19.7,,5.93,,23.1,,836.0
ILSXISS66/TejJ,m,66_28_2,32.0,,22.1,,4.4,,16.6,,685.0,
ILSXISS66/TejJ,m,66_28_20,,28.8,,20.9,,5.13,,19.7,,785.0
ILSXISS66/TejJ,m,66_28_21,,27.3,,19.4,,5.79,,23.0,,1169.0
ILSXISS66/TejJ,m,66_28_22,,25.6,,18.1,,5.38,,22.9,,692.0
ILSXISS66/TejJ,m,66_28_3,28.7,,21.6,,4.58,,17.5,,852.0,
ILSXISS66/TejJ,m,66_28_4,32.5,,22.8,,4.55,,16.6,,888.0,
ILSXISS66/TejJ,m,66_28_7,,,,,,,,,317.0,
ILSXISS7/TejJ,f,7_29_14,19.2,,14.5,,2.85,,16.4,,1210.0,
ILSXISS7/TejJ,f,7_29_15,25.5,,17.2,,5.96,,25.7,,1146.0,
ILSXISS7/TejJ,f,7_29_16,,,,,,,,,,393.0
ILSXISS7/TejJ,f,7_29_19,,,,,,,,,,202.0
ILSXISS7/TejJ,f,7_29_20,,,,,,,,,,421.0
ILSXISS7/TejJ,f,7_29_5,21.1,,15.5,,3.13,,16.8,,892.0,
ILSXISS7/TejJ,f,7_29_6,28.7,,18.4,,8.94,,32.6,,979.0,
ILSXISS7/TejJ,f,7_29_7,23.1,,16.4,,5.18,,24.0,,1143.0,
ILSXISS7/TejJ,m,7_29_10,27.1,,21.1,,4.22,,16.6,,1136.0,
ILSXISS7/TejJ,m,7_29_11,27.7,,22.1,,2.67,,10.8,,982.0,
ILSXISS7/TejJ,m,7_29_12,38.7,,22.4,,14.5,,39.3,,1017.0,
ILSXISS7/TejJ,m,7_29_13,,,,,,,,,,149.0
ILSXISS7/TejJ,m,7_29_17,,21.6,,17.1,,3.52,,17.1,,1181.0
ILSXISS7/TejJ,m,7_29_18,,23.4,,18.1,,4.14,,18.6,,980.0
ILSXISS7/TejJ,m,7_29_21,,20.9,,16.2,,3.42,,17.4,,1126.0
ILSXISS7/TejJ,m,7_29_22,,,,,,,,,,84.0
ILSXISS7/TejJ,m,7_29_8,34.2,,22.4,,10.3,,31.6,,1053.0,
ILSXISS7/TejJ,m,7_29_9,28.8,,19.4,,6.54,,25.2,,1048.0,
ILSXISS79,m,79_26_1,20.2,,15.8,,3.67,,18.9,,1069.0,
ILSXISS79,m,79_26_12,,17.2,,14.5,,2.15,,12.9,,1066.0
ILSXISS79,m,79_26_14,,19.0,,14.2,,3.32,,19.0,,991.0
ILSXISS79,m,79_26_15,,18.7,,15.3,,2.18,,12.5,,1065.0
ILSXISS79,m,79_26_2,21.6,,16.5,,3.55,,17.7,,1094.0,
ILSXISS79,m,79_26_3,14.7,,11.5,,1.79,,13.5,,1216.0,
ILSXISS79,m,79_26_4,,,,,,,,,438.0,
ILSXISS79,m,79_26_5,26.5,,20.5,,4.87,,19.2,,1150.0,
ILSXISS80/TejJ,f,80_27_17,30.4,,20.1,,8.73,,30.3,,887.0,
ILSXISS80/TejJ,f,80_27_18,28.8,,20.1,,7.81,,28.0,,887.0,
ILSXISS80/TejJ,f,80_27_19,28.9,,20.8,,7.18,,25.7,,1002.0,
ILSXISS80/TejJ,f,80_27_21,35.4,,20.6,,12.5,,37.8,,959.0,
ILSXISS80/TejJ,f,80_27_22,26.5,,18.5,,7.9,,29.9,,823.0,
ILSXISS80/TejJ,f,80_27_23,,25.6,,14.7,,7.46,,33.6,,1051.0
ILSXISS80/TejJ,f,80_27_25,,22.4,,16.0,,3.89,,19.6,,728.0
ILSXISS80/TejJ,f,80_27_31,,,,,,,,,,409.0
ILSXISS80/TejJ,f,80_27_32,,25.3,,15.1,,8.42,,35.8,,905.0
ILSXISS80/TejJ,f,80_27_33,,27.2,,17.3,,9.04,,34.3,,925.0
ILSXISS80/TejJ,m,80_27_14,31.8,,24.0,,7.13,,22.9,,803.0,
ILSXISS80/TejJ,m,80_27_15,,,,,,,,,446.0,
ILSXISS80/TejJ,m,80_27_16,35.4,,23.6,,10.6,,30.9,,772.0,
ILSXISS80/TejJ,m,80_27_20,31.0,,23.3,,8.09,,25.8,,859.0,
ILSXISS80/TejJ,m,80_27_24,30.0,,22.8,,6.38,,21.9,,929.0,
ILSXISS80/TejJ,m,80_27_26,,26.2,,21.8,,7.04,,24.4,,933.0
ILSXISS80/TejJ,m,80_27_27,,26.2,,19.1,,5.41,,22.1,,899.0
ILSXISS80/TejJ,m,80_27_28,,20.6,,16.6,,3.08,,15.7,,612.0
ILSXISS80/TejJ,m,80_27_29,,27.9,,19.6,,5.46,,21.8,,923.0
ILSXISS80/TejJ,m,80_27_30,,26.3,,18.3,,5.77,,24.0,,902.0
ILSXISS84/TejJ,f,84_28_10,16.8,,13.4,,2.6,,16.3,,955.0,
ILSXISS84/TejJ,f,84_28_14,,,,,,,,,,141.0
ILSXISS84/TejJ,f,84_28_15,,,,,,,,,,373.0
ILSXISS84/TejJ,f,84_28_16,,,,,,,,,,497.0
ILSXISS84/TejJ,f,84_28_17,,,,,,,,,,329.0
ILSXISS84/TejJ,f,84_28_18,,,,,,,,,,136.0
ILSXISS84/TejJ,f,84_28_5,22.5,,18.1,,4.1,,18.4,,863.0,
ILSXISS84/TejJ,f,84_28_6,18.5,,15.6,,2.87,,15.5,,810.0,
ILSXISS84/TejJ,f,84_28_7,18.5,,14.7,,3.71,,20.2,,767.0,
ILSXISS84/TejJ,f,84_28_8,22.3,,13.9,,7.37,,34.6,,771.0,
ILSXISS84/TejJ,m,84_28_1,22.1,,17.1,,4.43,,20.5,,937.0,
ILSXISS84/TejJ,m,84_28_11,,22.3,,16.8,,3.99,,19.2,,986.0
