gene,systems
Emg1,cellular|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|nervous system|vision/eye
Emid1,homeostasis/metabolism
Emilin1,cardiovascular system|hematopoietic system|homeostasis/metabolism|integument
Emilin2,behavior/neurological|hematopoietic system|homeostasis/metabolism
Emilin3,behavior/neurological|nervous system|vision/eye
Eml1,behavior/neurological|cellular|craniofacial|growth/size/body region|hematopoietic system|homeostasis/metabolism|integument|muscle|nervous system|skeleton|vision/eye
Eml2,hematopoietic system|vision/eye
Eml3,embryo|growth/size/body region
Eml4,behavior/neurological|cardiovascular system|integument|pigmentation
Emo1,behavior/neurological
Emo2,behavior/neurological
Emo3,behavior/neurological
Emp1,normal
Emp2,cardiovascular system|embryo|endocrine/exocrine gland|hematopoietic system|immune system|reproductive system
Emsy,cardiovascular system|craniofacial|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|limbs/digits/tail|nervous system|renal/urinary system|reproductive system|skeleton|vision/eye
Emv30,endocrine/exocrine gland|hematopoietic system|immune system|neoplasm
Emv72,hematopoietic system|immune system|neoplasm
Emx1,adipose tissue|behavior/neurological|cardiovascular system|cellular|craniofacial|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|neoplasm|nervous system|normal|reproductive system|skeleton|vision/eye
Emx2,behavior/neurological|cellular|craniofacial|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|nervous system|renal/urinary system|reproductive system|respiratory system|skeleton|taste/olfaction|vision/eye
En1,behavior/neurological|cardiovascular system|cellular|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|muscle|nervous system|normal|pigmentation|reproductive system|skeleton
En2,behavior/neurological|cellular|digestive/alimentary|embryo|growth/size/body region|homeostasis/metabolism|nervous system|reproductive system
Enah,behavior/neurological|cardiovascular system|cellular|embryo|growth/size/body region|homeostasis/metabolism|nervous system
Enam,adipose tissue|craniofacial|digestive/alimentary|growth/size/body region|hematopoietic system|homeostasis/metabolism|skeleton
Enc,vision/eye
Enc1,homeostasis/metabolism
Endog,cellular|endocrine/exocrine gland|integument|normal|pigmentation|reproductive system
Endou,cellular|hematopoietic system|immune system|vision/eye
Endov,homeostasis/metabolism|integument|neoplasm
Eng,behavior/neurological|cardiovascular system|craniofacial|digestive/alimentary|embryo|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|muscle|nervous system|normal|renal/urinary system|respiratory system|skeleton
Engase,behavior/neurological
Enho,adipose tissue|behavior/neurological|cellular|growth/size/body region|homeostasis/metabolism|liver/biliary system|muscle|nervous system
Enkd1,cardiovascular system|cellular|nervous system|renal/urinary system|reproductive system|respiratory system|vision/eye
Enkur,cardiovascular system|cellular|craniofacial|digestive/alimentary|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|reproductive system
Eno1,embryo|growth/size/body region
Eno2,behavior/neurological|cardiovascular system|cellular|craniofacial|growth/size/body region|nervous system|respiratory system|taste/olfaction
Eno3,behavior/neurological|homeostasis/metabolism
Eno4,cellular|endocrine/exocrine gland|reproductive system
Enoph1,homeostasis/metabolism|nervous system
Enox1,adipose tissue|cardiovascular system|hematopoietic system
Enox2,normal
Enpep,behavior/neurological
Enpp1,adipose tissue|behavior/neurological|cardiovascular system|cellular|craniofacial|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|muscle|nervous system|renal/urinary system|reproductive system|respiratory system|skeleton|vision/eye
Enpp2,cardiovascular system|cellular|embryo|growth/size/body region|homeostasis/metabolism|immune system|nervous system|normal
Enpp3,digestive/alimentary|growth/size/body region|hematopoietic system|immune system|respiratory system
Enpp4,homeostasis/metabolism|skeleton
Enpp5,behavior/neurological|homeostasis/metabolism|vision/eye
Enpp7,digestive/alimentary|endocrine/exocrine gland|homeostasis/metabolism
Ensa,behavior/neurological|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism
Entpd1,behavior/neurological|cardiovascular system|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|nervous system|renal/urinary system|respiratory system|vision/eye
Entpd2,craniofacial|digestive/alimentary|growth/size/body region|nervous system|taste/olfaction
Entpd3,integument|nervous system
Entpd5,cardiovascular system|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|neoplasm|reproductive system
Entpd6,adipose tissue|hematopoietic system|homeostasis/metabolism|limbs/digits/tail|skeleton
Entpd7,digestive/alimentary|hematopoietic system|immune system
Entpd8,cellular|digestive/alimentary|immune system
Entr1,cardiovascular system|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|integument|liver/biliary system|renal/urinary system|reproductive system
Eny2,embryo|reproductive system
Eo,vision/eye
Eogt,behavior/neurological|cardiovascular system|vision/eye
Eomes,adipose tissue|behavior/neurological|cellular|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|neoplasm|nervous system|normal|reproductive system|skeleton|vision/eye
Ep300,cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|muscle|neoplasm|nervous system|normal|renal/urinary system|respiratory system|vision/eye
Ep400,embryo|hematopoietic system|nervous system
Epas1,adipose tissue|cardiovascular system|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|nervous system|respiratory system|skeleton|vision/eye
Epb41,growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|renal/urinary system
Epb41l1,adipose tissue|behavior/neurological|cardiovascular system|growth/size/body region|homeostasis/metabolism|nervous system|normal|pigmentation|skeleton|vision/eye
Epb41l2,cellular|endocrine/exocrine gland|nervous system|normal|reproductive system
Epb41l3,behavior/neurological|nervous system|normal
Epb41l4a,behavior/neurological|cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|renal/urinary system
Epb41l4b,growth/size/body region
Epb41l5,cardiovascular system|cellular|digestive/alimentary|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|nervous system|vision/eye
Epb42,growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system
Epc1,behavior/neurological|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|muscle|skeleton
Epc2,behavior/neurological|cardiovascular system|homeostasis/metabolism|respiratory system|skeleton|vision/eye
Epcam,behavior/neurological|cardiovascular system|cellular|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|nervous system
Epcip,skeleton
Epdr1,behavior/neurological|hematopoietic system|immune system|limbs/digits/tail|skeleton
Epfpq1,adipose tissue
Epfpq2,adipose tissue
Epfpq3,adipose tissue
Epfpq4,adipose tissue
Epfq1,adipose tissue|integument
Epfq2,adipose tissue|integument
Epfq3,adipose tissue
Epfq4,adipose tissue
Epfq5,adipose tissue
Epg5,adipose tissue|behavior/neurological|cardiovascular system|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|muscle|nervous system|skeleton|vision/eye
Epgn,behavior/neurological|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system
Epha1,growth/size/body region|homeostasis/metabolism|immune system|limbs/digits/tail|reproductive system
Epha10,behavior/neurological|cardiovascular system|growth/size/body region
Epha2,cardiovascular system|embryo|homeostasis/metabolism|immune system|limbs/digits/tail|neoplasm|nervous system|normal|skeleton|vision/eye
Epha3,behavior/neurological|cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|renal/urinary system|respiratory system
Epha4,behavior/neurological|cellular|endocrine/exocrine gland|nervous system|normal|reproductive system
Epha5,homeostasis/metabolism|nervous system
Epha6,behavior/neurological|growth/size/body region|hematopoietic system|immune system|integument|liver/biliary system|renal/urinary system|reproductive system
Epha7,nervous system
Epha8,cellular|nervous system
Ephb1,behavior/neurological|cellular|growth/size/body region|hematopoietic system|immune system|nervous system|renal/urinary system|vision/eye
Ephb2,behavior/neurological|cellular|craniofacial|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|immune system|nervous system|renal/urinary system|reproductive system|vision/eye
Ephb3,behavior/neurological|cellular|craniofacial|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|nervous system|renal/urinary system|reproductive system|vision/eye
Ephb4,cardiovascular system|embryo|growth/size/body region|muscle|renal/urinary system
Ephb6,cellular|hematopoietic system|immune system|normal
Ephx1,homeostasis/metabolism|neoplasm
Ephx2,cardiovascular system|homeostasis/metabolism|vision/eye
Ephx3,normal
Epm2a,adipose tissue|behavior/neurological|cardiovascular system|cellular|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|neoplasm|nervous system
Epm2aip1,behavior/neurological|growth/size/body region|homeostasis/metabolism|liver/biliary system
Epn1,cardiovascular system|cellular|embryo|growth/size/body region|homeostasis/metabolism|neoplasm|nervous system|normal|reproductive system
Epn2,cardiovascular system|cellular|embryo|growth/size/body region|homeostasis/metabolism|neoplasm|nervous system|normal|reproductive system
Epn3,hearing/vestibular/ear|hematopoietic system|normal
Epo,cardiovascular system|cellular|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|respiratory system
Epor,cardiovascular system|cellular|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|nervous system|normal|respiratory system|vision/eye
Eppin,digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|renal/urinary system|reproductive system|vision/eye
Eppiq1,nervous system
Eppiq2,nervous system
Eppk1,cellular|homeostasis/metabolism|integument|normal
Eprs1,adipose tissue|cardiovascular system|cellular|embryo|growth/size/body region|homeostasis/metabolism|nervous system|normal|respiratory system
Eps15,cardiovascular system|cellular|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|nervous system
Eps15l1,adipose tissue|behavior/neurological|cardiovascular system|cellular|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|integument|limbs/digits/tail|nervous system|respiratory system|vision/eye
Eps8,behavior/neurological|cellular|hearing/vestibular/ear|nervous system|normal
Eps8l1,hematopoietic system|respiratory system|vision/eye
Eps8l2,behavior/neurological|craniofacial|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|nervous system
Eps8l3,craniofacial|growth/size/body region|skeleton
Epsti1,cellular|hematopoietic system|immune system
Ept,behavior/neurological
Epx,adipose tissue|hematopoietic system|homeostasis/metabolism|immune system
Epyc,growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|immune system|limbs/digits/tail|skeleton
Eqtn,cellular|reproductive system
Era1,behavior/neurological
Eral1,
Erap1,adipose tissue|behavior/neurological|cardiovascular system|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|renal/urinary system|skeleton
Erars1,hematopoietic system|immune system
Erars2,hematopoietic system|immune system
Erbb2,behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|integument|limbs/digits/tail|muscle|neoplasm|nervous system|normal|respiratory system|skeleton
Erbb3,behavior/neurological|cardiovascular system|cellular|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|immune system|integument|muscle|neoplasm|nervous system|normal|pigmentation|respiratory system
Erbb4,behavior/neurological|cardiovascular system|cellular|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|integument|muscle|nervous system|normal|reproductive system|respiratory system
Erbin,behavior/neurological|nervous system
Erc1,homeostasis/metabolism|normal|vision/eye
Erc2,behavior/neurological|cellular|nervous system|vision/eye
Ercc1,adipose tissue|behavior/neurological|cellular|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|muscle|neoplasm|nervous system|renal/urinary system|reproductive system|skeleton|vision/eye
Ercc2,adipose tissue|behavior/neurological|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|neoplasm|nervous system|pigmentation|reproductive system|skeleton|vision/eye
Ercc3,behavior/neurological|cellular|craniofacial|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|integument|muscle|nervous system|reproductive system|skeleton
Ercc4,behavior/neurological|cellular|growth/size/body region|homeostasis/metabolism|liver/biliary system|vision/eye
Ercc5,digestive/alimentary|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system
Ercc6,adipose tissue|behavior/neurological|cellular|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|muscle|neoplasm|nervous system|skeleton|vision/eye
Ercc6l,cellular|embryo|growth/size/body region|homeostasis/metabolism|nervous system|normal|reproductive system
Ercc6l2,hematopoietic system|immune system
Ercc8,behavior/neurological|cellular|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|neoplasm|nervous system|vision/eye
Ereg,digestive/alimentary|growth/size/body region|homeostasis/metabolism|immune system|integument|neoplasm|normal|vision/eye
Erf,cardiovascular system|cellular|craniofacial|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|nervous system|normal|renal/urinary system|skeleton
Erfe,hematopoietic system|homeostasis/metabolism|liver/biliary system
Erg,cardiovascular system|cellular|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|muscle|neoplasm|nervous system|normal|reproductive system|respiratory system|skeleton|vision/eye
Ergic1,behavior/neurological
Ergic2,cardiovascular system|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|limbs/digits/tail|muscle|reproductive system|skeleton
Ergic3,cardiovascular system|growth/size/body region|muscle
Eri1,cellular|growth/size/body region
Eri2,cardiovascular system
Erich2,reproductive system
Erich3,behavior/neurological|vision/eye
Erlec1,adipose tissue|hearing/vestibular/ear|immune system|nervous system
Erlin1,digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|renal/urinary system|reproductive system|skeleton|vision/eye
Erlin2,homeostasis/metabolism
Erln,hematopoietic system
Ermn,behavior/neurological|cellular|hematopoietic system|homeostasis/metabolism|nervous system
Ermp1,cardiovascular system|craniofacial|digestive/alimentary|growth/size/body region|homeostasis/metabolism|renal/urinary system|vision/eye
Ern1,cardiovascular system|cellular|digestive/alimentary|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|normal
Ern2,digestive/alimentary|immune system
Ero1a,cellular|hematopoietic system|homeostasis/metabolism|immune system
Ero1b,endocrine/exocrine gland|homeostasis/metabolism
Erp29,cellular|homeostasis/metabolism|reproductive system
Erp44,growth/size/body region|integument|pigmentation|skeleton
Errfi1,behavior/neurological|cardiovascular system|craniofacial|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|neoplasm|normal|reproductive system|respiratory system|skeleton|vision/eye
Es3,homeostasis/metabolism
Esam,cardiovascular system|cellular|growth/size/body region|hematopoietic system|immune system|neoplasm
Esco1,adipose tissue|cellular|growth/size/body region|homeostasis/metabolism
Esco2,cellular|embryo|growth/size/body region|nervous system
Esd,behavior/neurological|hematopoietic system
Esl1,neoplasm
Esm1,cardiovascular system|cellular|hematopoietic system|homeostasis/metabolism|immune system|neoplasm|nervous system|vision/eye
Esmr,immune system
Espl1,cellular|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|immune system|liver/biliary system|neoplasm|nervous system|reproductive system
Espn,behavior/neurological|cellular|digestive/alimentary|hearing/vestibular/ear|hematopoietic system|immune system|nervous system
Espnl,behavior/neurological|hearing/vestibular/ear|homeostasis/metabolism|nervous system
Espq1,
Espq2,
Espq3,
Espq4,
Esr1,adipose tissue|behavior/neurological|cardiovascular system|cellular|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|muscle|neoplasm|nervous system|normal|renal/urinary system|reproductive system|respiratory system|skeleton
Esr2,adipose tissue|behavior/neurological|cardiovascular system|cellular|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|muscle|neoplasm|nervous system|normal|renal/urinary system|reproductive system|respiratory system|skeleton
Esrp1,behavior/neurological|cardiovascular system|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|integument|limbs/digits/tail|renal/urinary system|reproductive system|respiratory system|skeleton
Esrp2,cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|renal/urinary system|respiratory system|skeleton
Esrra,adipose tissue|behavior/neurological|cardiovascular system|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|normal|skeleton
Esrrb,behavior/neurological|cardiovascular system|embryo|growth/size/body region|hearing/vestibular/ear|muscle
Esrrg,behavior/neurological|cardiovascular system|cellular|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|muscle|renal/urinary system
Ess2,hematopoietic system|immune system
Estoq1,
Estoq2,
Estoq3,
Estoq4,
Estq1,reproductive system
Estq2,reproductive system
Estq3,reproductive system
Estq4,reproductive system
Esx1,cardiovascular system|embryo|growth/size/body region
Esyt1,behavior/neurological|craniofacial|growth/size/body region|normal|skeleton|vision/eye
Esyt2,cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|normal
Esyt3,cellular|hematopoietic system|homeostasis/metabolism|normal
Etan1,behavior/neurological
Etfa,embryo|growth/size/body region
Etfb,cardiovascular system|growth/size/body region|hematopoietic system|immune system|nervous system|vision/eye
Etfbkmt,cellular|homeostasis/metabolism
Etfdh,behavior/neurological|cellular|growth/size/body region|muscle|vision/eye
Ethe1,behavior/neurological|growth/size/body region|hematopoietic system|homeostasis/metabolism|muscle|renal/urinary system
Ethm1,homeostasis/metabolism
Ethm2,homeostasis/metabolism
Ethm3,homeostasis/metabolism
Ethm4,homeostasis/metabolism
Etl4,digestive/alimentary|embryo|growth/size/body region|limbs/digits/tail|normal|renal/urinary system|reproductive system|skeleton
Etn2,cardiovascular system|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|limbs/digits/tail|nervous system|normal|renal/urinary system|reproductive system|respiratory system|skeleton
Etn3,craniofacial|integument|limbs/digits/tail|neoplasm|normal|renal/urinary system|reproductive system|skeleton|vision/eye
Etnk1,hematopoietic system|immune system|skeleton
Etnk2,cellular|normal|reproductive system
Etnppl,craniofacial|growth/size/body region|homeostasis/metabolism|skeleton
Etohc1,behavior/neurological
Etohc2,behavior/neurological
Etohc3,behavior/neurological
Etohr,behavior/neurological
Ets1,cardiovascular system|cellular|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|nervous system|pigmentation
Ets2,cardiovascular system|cellular|embryo|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|integument|neoplasm|normal
Etv1,behavior/neurological|cellular|growth/size/body region|muscle|nervous system|normal
Etv2,cardiovascular system|cellular|embryo|growth/size/body region|hematopoietic system|immune system|normal
Etv4,behavior/neurological|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|integument|limbs/digits/tail|muscle|neoplasm|nervous system|renal/urinary system|reproductive system|skeleton
Etv5,behavior/neurological|cellular|craniofacial|embryo|endocrine/exocrine gland|growth/size/body region|limbs/digits/tail|nervous system|renal/urinary system|reproductive system|respiratory system|skeleton
Etv6,cardiovascular system|cellular|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|neoplasm|normal|renal/urinary system|skeleton
Eva1a,cardiovascular system|cellular|homeostasis/metabolism|nervous system
Eva1c,behavior/neurological|vision/eye
Evc,behavior/neurological|cellular|craniofacial|growth/size/body region|limbs/digits/tail|reproductive system|skeleton
Evc2,behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|nervous system|normal|reproductive system|skeleton|vision/eye
Evi2b,growth/size/body region|renal/urinary system
Evi5,homeostasis/metabolism
Evl,cardiovascular system|cellular|hematopoietic system|homeostasis/metabolism|immune system|muscle|nervous system|normal
Evpl,cellular|integument
Evx1,embryo|nervous system
Evx1os,normal
Evx2,growth/size/body region|limbs/digits/tail|reproductive system|skeleton
Ewsr1,adipose tissue|behavior/neurological|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|muscle|neoplasm|normal|renal/urinary system|reproductive system|skeleton
Exa,behavior/neurological
Exd1,cardiovascular system|cellular|growth/size/body region|hematopoietic system|reproductive system
Exen1,nervous system
Exo1,cellular|endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|immune system|neoplasm|reproductive system
Exo5,cellular|reproductive system
Exoc1,behavior/neurological
Exoc2,embryo
Exoc3,adipose tissue|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism
Exoc3l,behavior/neurological|normal|skeleton
Exoc3l2,behavior/neurological|cardiovascular system|craniofacial|embryo|growth/size/body region|homeostasis/metabolism|liver/biliary system|skeleton
Exoc3l4,cardiovascular system|embryo|growth/size/body region|homeostasis/metabolism
Exoc4,embryo|growth/size/body region|homeostasis/metabolism
Exoc5,cardiovascular system|renal/urinary system
Exoc6,behavior/neurological|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument
Exoc6b,homeostasis/metabolism
Exoc7,cellular|reproductive system
Exoc8,
Exosc1,cellular|embryo|growth/size/body region
Exosc10,cellular|embryo|normal|reproductive system
Exosc2,embryo|homeostasis/metabolism|reproductive system
Exosc3,growth/size/body region|homeostasis/metabolism|normal|renal/urinary system
Exosc7,reproductive system
Exosc8,hematopoietic system|homeostasis/metabolism
Exph5,behavior/neurological|cellular|hematopoietic system|homeostasis/metabolism|immune system|respiratory system
Exq1,behavior/neurological|nervous system
Ext1,behavior/neurological|cellular|craniofacial|digestive/alimentary|embryo|growth/size/body region|hearing/vestibular/ear|limbs/digits/tail|neoplasm|nervous system|normal|skeleton|vision/eye
Ext2,embryo|skeleton
Extl1,cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|renal/urinary system
Extl2,cellular
Extl3,cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|renal/urinary system|reproductive system|vision/eye
Exz1,endocrine/exocrine gland
Exz2,endocrine/exocrine gland
Ey3,vision/eye
Eya1,behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|muscle|nervous system|normal|renal/urinary system|reproductive system|respiratory system|skeleton|vision/eye
Eya2,behavior/neurological|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|immune system
Eya3,behavior/neurological|cardiovascular system|growth/size/body region|respiratory system|skeleton
Eya4,cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|homeostasis/metabolism|immune system|reproductive system|skeleton
Eye2,vision/eye
Ezh1,behavior/neurological|cellular|hematopoietic system|homeostasis/metabolism|immune system|integument|nervous system|normal|reproductive system
Ezh2,behavior/neurological|cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|muscle|neoplasm|nervous system|normal|renal/urinary system|reproductive system|respiratory system|skeleton
Ezhip,endocrine/exocrine gland|reproductive system
Ezr,digestive/alimentary|endocrine/exocrine gland|growth/size/body region|immune system|vision/eye
F10,cardiovascular system|growth/size/body region|homeostasis/metabolism|renal/urinary system|reproductive system
F10ex,nervous system
F11,behavior/neurological|cardiovascular system|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|nervous system|respiratory system
F11r,cardiovascular system|immune system
F12,homeostasis/metabolism|nervous system|normal
F13a1,cardiovascular system|homeostasis/metabolism|integument|reproductive system|respiratory system
F13b,homeostasis/metabolism
F2,adipose tissue|behavior/neurological|cardiovascular system|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|muscle|nervous system|normal|reproductive system|respiratory system|skeleton
F2r,cardiovascular system|cellular|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|neoplasm|nervous system|renal/urinary system|reproductive system|skeleton|vision/eye
F2rl1,behavior/neurological|cardiovascular system|cellular|embryo|endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|immune system|integument|limbs/digits/tail|liver/biliary system|neoplasm|nervous system|renal/urinary system|skeleton
F2rl2,hematopoietic system|homeostasis/metabolism
F2rl3,homeostasis/metabolism
F3,behavior/neurological|cardiovascular system|cellular|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|muscle|neoplasm|nervous system|normal|respiratory system|vision/eye
F5,behavior/neurological|cardiovascular system|embryo|growth/size/body region|homeostasis/metabolism|integument|liver/biliary system|nervous system
F7,adipose tissue|cardiovascular system|craniofacial|growth/size/body region|homeostasis/metabolism|normal|skeleton
F8,homeostasis/metabolism|immune system
F9,cardiovascular system|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system
Fa2h,behavior/neurological|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|nervous system|renal/urinary system|reproductive system|vision/eye
Faah,behavior/neurological|hematopoietic system|homeostasis/metabolism|muscle|nervous system|normal
Faap100,cellular|endocrine/exocrine gland|homeostasis/metabolism|reproductive system
Faap20,cellular|endocrine/exocrine gland|hematopoietic system|reproductive system
Fabp1,hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system
Fabp12,growth/size/body region
Fabp2,adipose tissue|growth/size/body region|homeostasis/metabolism|immune system|liver/biliary system|renal/urinary system
Fabp3,adipose tissue|behavior/neurological|cardiovascular system|cellular|growth/size/body region|homeostasis/metabolism|liver/biliary system|muscle|vision/eye
Fabp4,adipose tissue|cardiovascular system|cellular|growth/size/body region|homeostasis/metabolism|liver/biliary system|muscle
Fabp5,adipose tissue|cardiovascular system|cellular|growth/size/body region|homeostasis/metabolism|integument|liver/biliary system|muscle
Fabp6,homeostasis/metabolism|liver/biliary system
Fabp7,behavior/neurological|hematopoietic system|homeostasis/metabolism|nervous system
Fabp9,cellular|reproductive system
Fadd,adipose tissue|cardiovascular system|cellular|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|nervous system|reproductive system
